starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	1	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
